id,key,value,type
105838423,highway,traffic_signals,regular
207213215,name,ด่านอโศก 1,regular
207213215,barrier,toll_booth,regular
248118868,created_by,JOSM,regular
248118936,created_by,JOSM,regular
248119479,created_by,JOSM,regular
248119529,created_by,JOSM,regular
248119595,created_by,JOSM,regular
248119645,created_by,JOSM,regular
248135362,created_by,JOSM,regular
248135412,created_by,JOSM,regular
248135473,created_by,JOSM,regular
248137642,source,Landsat,regular
248139185,created_by,JOSM,regular
248139235,created_by,JOSM,regular
248139285,created_by,JOSM,regular
248143620,created_by,JOSM,regular
248143670,created_by,JOSM,regular
248143735,created_by,JOSM,regular
248143792,created_by,JOSM,regular
248143872,created_by,JOSM,regular
248143990,created_by,JOSM,regular
248144133,created_by,JOSM,regular
248144684,created_by,JOSM,regular
248145711,created_by,JOSM,regular
248145890,created_by,JOSM,regular
248146049,created_by,JOSM,regular
248213789,created_by,JOSM,regular
248213839,created_by,JOSM,regular
248213890,created_by,JOSM,regular
248213948,created_by,JOSM,regular
248214075,created_by,JOSM,regular
248214851,created_by,JOSM,regular
248214901,created_by,JOSM,regular
248214959,created_by,JOSM,regular
248215009,created_by,JOSM,regular
248215337,created_by,JOSM,regular
248215393,created_by,JOSM,regular
248217529,created_by,JOSM,regular
248217579,created_by,JOSM,regular
248217629,created_by,JOSM,regular
248217679,created_by,JOSM,regular
248221094,created_by,JOSM,regular
248222385,created_by,JOSM,regular
248222435,created_by,JOSM,regular
248222485,created_by,JOSM,regular
248225185,created_by,JOSM,regular
248225235,created_by,JOSM,regular
248225382,created_by,JOSM,regular
248225454,created_by,JOSM,regular
248225504,created_by,JOSM,regular
248225581,created_by,JOSM,regular
248225634,created_by,JOSM,regular
249793443,created_by,JOSM,regular
249793500,created_by,JOSM,regular
249796359,created_by,JOSM,regular
249796409,created_by,JOSM,regular
254301384,created_by,JOSM,regular
254345695,created_by,JOSM,regular
254348487,created_by,JOSM,regular
254350710,created_by,JOSM,regular
254350764,created_by,JOSM,regular
255983958,created_by,JOSM,regular
255984009,created_by,JOSM,regular
257395468,created_by,JOSM,regular
257398047,created_by,JOSM,regular
272339825,surface,paved,regular
280388506,railway,level_crossing,regular
285969539,power,tower,regular
287323462,power,tower,regular
291433298,alt_name,7-11,regular
291433298,name,7-Eleven,regular
291433298,en,7-Eleven,name
291433298,shop,convenience,regular
291433298,website,http://www.7eleven.co.th/,regular
301327998,name,ซับเวย์,regular
301327998,amenity,fast_food,regular
301327998,cuisine,sandwich,regular
301327998,en,Subway,name
301327998,website,www.subway.co.th,regular
301327998,takeaway,yes,regular
301552629,name,Dolphin Circle,regular
301552629,amenity,fountain,regular
301775270,amenity,atm,regular
301775270,operator,Bank of Ayudhya,regular
303458119,name,SF Cinema City,regular
303458119,amenity,cinema,regular
305073264,surface,paved,regular
306382772,highway,traffic_signals,regular
313047377,name,ด่านศรีนครินทร์,regular
313047377,barrier,toll_booth,regular
339977519,power,tower,regular
344915988,highway,motorway_junction,regular
344915988,surface,paved,regular
344916466,surface,paved,regular
356814884,name,ปากเกร็ด,regular
356814884,is_in,Nonthaburi Province,regular
356814884,place,city,regular
356814884,en,Pak Kret,name
356814884,ja,パックレット,name
356814884,ru,Паккрет,name
356814884,th,ปากเกร็ด,name
356814884,population,180727,regular
356814884,official_name,เทศบาลนครปากเกร็ด,regular
359073056,highway,motorway_junction,regular
359073056,left,ถนนแจ้งวัฒนะ (ปากเกร็ด),exit_to
359073056,right,ถนนแจ้งวัฒนะ (หลักสี่ - ศูนย์ราชการ),exit_to
374187492,name,สำนักงานเขตทวีวัฒนา,regular
374187492,amenity,townhall,regular
374187492,en,Thawi Watthana District Office,name
374187492,th,สำนักงานเขตทวีวัฒนา,name
412083659,name,Skaw Beach Hotel,regular
412083659,phone,+66 38 410802;+66 38 410803;+66 38 410804,regular
412083659,tourism,hotel,regular
415291981,alt_name,7-11,regular
415291981,name,7-Eleven,regular
415291981,en,7-Eleven,name
415291981,shop,convenience,regular
415291981,website,http://www.7eleven.co.th/,regular
489243138,surface,paved,regular
490808748,name,Gai yang somtam,regular
490808748,amenity,fast_food,regular
518852078,highway,crossing,regular
549765557,power,tower,regular
