id,key,value,type
9019865,name,ถนนราชดำริ,regular
9019865,lanes,7,regular
9019865,highway,secondary,regular
9019865,en,Ratchadamri Road,name
9019865,th,ถนนราชดำริ,name
9019865,forward,4,lanes
9019865,backward,3,lanes
19834030,name,Sukhumvit 21 Soi 3,regular
19834030,highway,residential,regular
23122551,name,ถนน ราชดำเนิน,regular
23122551,highway,residential,regular
23122551,en,Thanon Rachchadamnern,name
23122551,th,ถนน ราชดำเนิน,name
23486417,name,สวนจตุจักร,regular
23486417,source,Yahoo Aerial,regular
23486417,leisure,park,regular
23486417,en,Chatuchak Park,name
23486417,th,สวนจตุจักร,name
23486417,website,http://203.155.220.217/office/ppdd/publicpark/thai/2011/park02.asp,regular
23486417,street,ถนนพหลโยธิน,addr
23486417,en,JJ Park,alt_name
23486417,opening_hours,04:30-21:00,regular
24715228,highway,tertiary,regular
24715228,lanes,3,regular
24715228,name,ถนนข้าวหลาม,regular
24715228,en,Khao Lam Road,name
24715228,th,ถนนข้าวหลาม,name
24715228,oneway,yes,regular
25044554,name,สุขุมวิท 49/9,regular
25044554,is_in,"Bangkok, Thailand",regular
25044554,source,Yahoo! Aerial Imagery,regular
25044554,highway,residential,regular
25044554,en,Sukhumvit 49/9,name
25044554,th,สุขุมวิท 49/9,name
25053626,name,ถนนพระรามที่ 3,regular
25053626,layer,0,regular
25053626,oneway,yes,regular
25053626,source,Yahoo! Aerial Imagery,regular
25053626,highway,primary,regular
25053626,en,Rama III Road,name
25053626,th,ถนนพระรามที่ 3,name
25053626,alt_name,ถนนรัชดาภิเษก,regular
25053626,en,Ratchadaphisek Road,alt_name
25053626,th,ถนนรัชดาภิเษก,alt_name
25507549,building,yes,regular
25507549,created_by,Potlatch 0.9c,regular
25620847,ref,3344,regular
25620847,name,ถนนศรีนครินทร์,regular
25620847,oneway,yes,regular
25620847,highway,secondary,regular
25620847,en,Srinagarindra Road,name
25620847,th,ถนนศรีนครินทร์,name
25620847,en,Si Nakharin Road;Sinakharin Road;Srinakarin Road;Sinakarin Road,alt_name
25697861,highway,service,regular
25697861,service,driveway,regular
25707542,boat,yes,regular
25707542,name,คลองผดุงกรุงเกษม,regular
25707542,source,Yahoo! Aerial Imagery,regular
25707542,en,Khlong Phadung Krung Kasem,name
25707542,th,คลองผดุงกรุงเกษม,name
25707542,waterway,canal,regular
25715256,name,ถนนอู่ทองใน,regular
25715256,oneway,no,regular
25715256,highway,tertiary,regular
25715256,en,Uthong Nai Road,name
25715256,th,ถนนอู่ทองใน,name
25745236,name,ถนนรัชดาภิเษก,regular
25745236,oneway,yes,regular
25745236,highway,primary,regular
25745236,en,Ratchadaphisek Road,name
25745236,th,ถนนรัชดาภิเษก,name
25775504,highway,service,regular
25775504,created_by,Potlatch 0.10b,regular
25805374,building,yes,regular
25805374,name,State Tower,regular
25805374,en,State Tower,name
25805374,building:levels,68,note
25805374,height,247.2,note
25914851,railway,subway,regular
25914851,service,yard,regular
25914851,created_by,Potlatch 0.10b,regular
25975621,source,Yahoo! Aerial Imagery,regular
25975621,highway,residential,regular
26206331,name,"Seagate Technology (Thailand), Ltd.",regular
26206331,building,industrial,regular
26693503,width,6,regular
26693503,highway,residential,regular
26693503,service,driveway,regular
26693503,surface,paved,regular
27303224,name,ซอยแบริ่ง 25,regular
27303224,highway,residential,regular
27303224,en,Soi Baring 25,name
27303224,th,ซอยแบริ่ง 25,name
27474360,foot,yes,regular
27474360,bridge,yes,regular
27474360,highway,steps,regular
27474360,bicycle,yes,ramp
27555693,highway,residential,regular
27555693,created_by,Potlatch 0.10d,regular
27556293,highway,residential,regular
27556293,created_by,Potlatch 0.10d,regular
27661969,highway,residential,regular
27661969,created_by,Potlatch 0.10d,regular
27785352,highway,primary_link,regular
27785352,created_by,Potlatch 0.10e,regular
27865800,highway,residential,regular
27865800,created_by,Potlatch 0.10e,regular
28151689,source,Yahoo Aerial,regular
28151689,highway,unclassified,regular
28326260,foot,yes,regular
28326260,bicycle,yes,regular
28326260,highway,footway,regular
28492898,ref,9,regular
28492898,foot,no,regular
28492898,name,ถนนกาญจนาภิเษก (ด้านตะวันออก),regular
28492898,toll,yes,regular
28492898,layer,1,regular
28492898,bridge,yes,regular
28492898,oneway,yes,regular
28492898,source,GPS,regular
28492898,bicycle,no,regular
28492898,highway,motorway,regular
28492898,int_ref,AH19,regular
28492898,en,Kanchanaphisek Road (east),name
28492898,th,ถนนกาญจนาภิเษก (ด้านตะวันออก),name
28492898,alt_name,ถนนวงแหวนรอบนอกด้านตะวันออก,regular
28492898,motorcycle,no,regular
28492898,en,Eastern Outer Ring Road,alt_name
28494268,ref,9,regular
28494268,foot,no,regular
28494268,name,ถนนกาญจนาภิเษก (ด้านตะวันออก),regular
28494268,toll,no,regular
28494268,lanes,4,regular
28494268,oneway,yes,regular
28494268,source,GPS; sign,regular
28494268,bicycle,no,regular
28494268,highway,motorway,regular
28494268,int_ref,AH19,regular
28494268,en,Kanchanaphisek Road (east),name
28494268,th,ถนนกาญจนาภิเษก (ด้านตะวันออก),name
28494268,alt_name,ถนนวงแหวนรอบนอกด้านตะวันออก,regular
28494268,motorcycle,no,regular
28494268,en,Eastern Outer Ring Road,alt_name
28502714,sport,golf,regular
28502714,leisure,golf_course,regular
28503689,toll,yes,regular
28503689,layer,1,regular
28503689,bridge,yes,regular
28503689,oneway,yes,regular
28503689,highway,motorway_link,regular
28503689,int_ref,AH19,regular
28504915,lanes,2,regular
28504915,layer,2,regular
28504915,bridge,yes,regular
28504915,oneway,yes,regular
28504915,highway,motorway_link,regular
28519161,ref,นบ.1020,regular
28519161,name,ถนนนครอินทร์,regular
28519161,layer,1,regular
28519161,bridge,yes,regular
28519161,oneway,yes,regular
28519161,highway,primary,regular
28519161,en,Nakhon In Road,name
28519161,th,ถนนนครอินทร์,name
29022404,layer,3,regular
29022404,bridge,yes,regular
29022404,oneway,yes,regular
29022404,highway,motorway_link,regular
29797792,highway,unclassified,regular
30014139,highway,residential,regular
30014139,created_by,Potlatch 0.10f,regular
30704666,oneway,yes,regular
30704666,source,Yahoo Aerial,regular
30704666,highway,residential,regular
30744373,name,ถนนลำพู,regular
30744373,oneway,yes,regular
30744373,highway,residential,regular
30744373,en,Thanon Lamphu,name
30744429,name,ซอยข้างวัดราชนัดดาราม,regular
30744429,source,bing; sign,regular
30744429,highway,residential,regular
30744429,en,Soi Khang Wat Ratchanaddaram,name
30744429,th,ซอยข้างวัดราชนัดดาราม,name
30754803,highway,service,regular
31153023,highway,residential,regular
31910752,name,ซอยเล้งกี่,regular
