CHA_NE,ex2550,ex2551,ex2552,ex2553,ex2554,ex2555,ex2556,ex2557,ex2558
Bangkok,14195.000,16168.000,105652.970,29716.463,46278.086,110740.733,106882.801,126039.052,566045.009
ChiangMai,9520.000,9971.000,9726.515,10190.225,12243.110,13280.500,18091.806,20752.033,28280.499
Lamphun,1364.000,1106.000,836.633,1012.568,1607.916,756.936,1909.645,2291.720,3230.401
Lampang,2289.000,2737.000,2781.408,2919.718,3439.974,2125.501,4084.384,5061.490,7630.659
Phrae,1241.000,1139.000,1227.689,1150.139,1673.476,1160.059,2451.871,3107.903,4455.068
Nan,1444.000,1221.000,1437.720,1333.455,1789.848,1546.820,2748.756,3088.748,4502.375
Phayao,1838.000,1761.000,1581.473,1304.012,1997.530,1435.095,2766.925,3128.389,4776.194
ChiangRai,3248.000,3760.000,4169.133,4232.045,6777.686,4769.252,7436.773,8375.668,11550.180
MaeHongSon,1009.000,965.000,1038.735,987.036,1413.874,1079.082,1453.226,1643.577,2777.799
NakhonSawan,2433.000,2370.000,2533.134,3175.677,3271.531,2700.405,5033.216,5517.951,7920.323
KamphaengPhet,1809.000,1522.000,1654.219,1820.490,2220.085,1683.804,3070.813,3802.957,5351.726
Tak,1712.000,2180.000,1793.798,1587.100,2300.809,1357.117,3003.302,3381.547,5463.222
Sukhothai,2421.000,1951.000,1842.784,1493.949,2110.730,1550.205,3347.253,3692.100,4958.043
Phitsanulok,5548.000,6436.000,4612.764,4582.494,5013.275,4458.827,7293.498,7618.944,15116.484
Phichit,1298.000,1189.000,1578.224,1597.041,1664.252,1314.942,2374.154,2422.827,3921.616
Phetchabun,2223.000,2443.000,2872.051,2731.146,3628.873,2265.533,4173.540,4802.931,6576.552
Uttaradit,1716.000,1860.000,1869.484,1569.737,2420.429,1671.886,3405.902,4214.317,5811.040
UthaiThani,1083.000,1039.000,1332.526,904.603,1545.273,1108.280,1741.362,2199.404,2676.839
Nonthaburi,6010.000,3468.000,2139.414,3691.878,3996.115,3751.431,6289.147,6257.610,12902.407
PathumThani,4487.000,3951.000,3784.434,3433.054,6406.390,5168.326,7714.461,7733.183,12030.981
PhraNakhonSiAyutthaya,2671.000,2616.000,3542.596,3483.808,4824.433,3494.844,5442.325,5593.753,7848.153
AngThong,891.000,956.000,1327.715,1004.314,1608.029,936.122,1576.633,1946.766,2914.213
LopBuri,2099.000,1845.000,2363.267,2374.500,3711.665,2858.880,3742.032,3689.173,5377.995
SingBuri,786.000,643.000,814.057,695.524,1409.754,869.877,1800.441,1887.121,2275.437
ChaiNat,1223.000,1076.000,1111.745,1105.567,1532.622,997.015,1779.577,2148.115,3519.069
Saraburi,1326.000,1264.000,1774.149,1799.947,2079.411,1885.213,3073.529,3083.627,4592.302
SamutPrakan,8086.000,4666.000,3185.930,2425.343,2042.065,1976.393,3144.876,4420.192,5983.360
Chachoengsao,2067.000,2321.000,1866.266,2000.044,2762.649,1601.719,3253.210,3480.007,5260.581
PrachinBuri,1663.000,1853.000,1471.832,1345.506,2619.176,3095.907,2527.418,3232.181,5655.465
NakhonNayok,1270.000,1167.000,866.524,902.717,1074.605,757.602,1420.060,1697.591,3109.042
