CHA_NE,tax2550,tax2551,tax2552,tax2553,tax2554,tax2555,tax2556,tax2557,tax2558
Bangkok,566968.771,637718.864,580280.005,632113.992,758758.180,772329.786,833980.237,839850.326,862107.938
ChiangMai,5786.665,5888.998,5523.467,6386.988,7119.596,8305.418,9123.932,9192.420,9576.118
Lamphun,1966.609,2106.885,1894.898,2538.804,2367.873,2233.770,2445.252,2362.196,2324.893
Lampang,1727.387,1485.221,1454.704,1654.112,1778.004,1886.382,2037.777,1952.163,2060.570
Phrae,524.889,525.629,593.959,543.209,620.863,683.372,801.901,763.656,782.035
Nan,307.363,320.811,308.877,359.019,381.853,425.438,511.083,469.083,598.510
Phayao,357.396,368.684,352.448,414.035,464.287,514.412,585.108,551.365,578.725
ChiangRai,1460.629,1574.531,1542.291,1769.434,2054.178,2367.465,2600.038,2469.615,2532.898
MaeHongSon,125.546,130.213,123.232,158.555,146.677,152.260,175.721,161.544,195.397
NakhonSawan,1970.780,2090.284,2325.219,2344.928,2550.532,3066.291,3254.515,3079.632,3134.186
KamphaengPhet,2099.510,1418.423,1317.766,1566.944,1628.232,1775.237,1783.376,1721.793,1901.304
Tak,608.980,571.379,597.294,685.876,745.661,848.844,961.289,965.401,1057.939
Sukhothai,539.035,513.630,522.348,622.568,593.667,694.274,807.757,787.983,909.760
Phitsanulok,1617.711,1647.068,1689.820,1734.261,1768.892,2039.939,2142.661,2225.328,2360.451
Phichit,608.557,608.530,622.601,743.185,735.815,856.042,970.756,768.321,822.913
Phetchabun,675.765,708.564,739.149,891.836,1010.657,1124.974,1181.903,1182.511,1197.823
Uttaradit,569.853,629.263,582.967,586.433,587.852,781.205,898.891,726.524,742.636
UthaiThani,241.309,245.412,225.674,280.062,308.026,373.045,417.899,378.054,411.764
Nonthaburi,22261.709,20716.993,20800.025,26706.542,30029.550,30626.577,35084.820,36526.012,47112.373
PathumThani,26968.280,30644.678,28195.948,32279.543,39973.249,36257.664,40200.459,37126.981,36197.216
PhraNakhonSiAyutthaya,19838.483,22858.176,20163.409,23362.211,24610.018,17272.076,24802.634,21006.870,23074.550
AngThong,524.809,564.582,520.237,595.169,669.186,684.226,730.502,685.600,702.103
LopBuri,1349.611,1307.700,1189.214,1312.152,1445.819,1823.330,1941.162,1885.540,1960.239
SingBuri,478.862,480.997,469.064,506.283,535.798,693.302,950.899,853.699,801.976
ChaiNat,367.546,389.004,402.104,457.476,505.485,560.284,625.581,603.321,635.100
Saraburi,6332.015,6405.614,5828.601,7173.131,8032.190,7914.625,8896.113,9526.906,9389.180
SamutPrakan,55384.300,63205.895,56808.615,65091.885,77392.780,88992.156,102439.951,90301.280,86266.627
