CHA_NE,population
Bangkok,5696409
ChiangMai,1728242
Lamphun,406385
Lampang,752356
Phrae,452346
Nan,479518
Phayao,482645
ChiangRai,1277950
MaeHongSon,273764
NakhonSawan,1071942
KamphaengPhet,730158
Tak,618382
Sukhothai,601712
Phitsanulok,863404
Phichit,545957
Phetchabun,996986
Uttaradit,459768
UthaiThani,330906
Nonthaburi,1193711
PathumThani,1094249
PhraNakhonSiAyutthaya,808360
AngThong,283173
LopBuri,758655
SingBuri,211426
ChaiNat,331655
Saraburi,637673
SamutPrakan,1279310
Chachoengsao,700902
PrachinBuri,482195
NakhonNayok,258577
SaKaeo,556922
Ratchaburi,867883
Kanchanaburi,882146
SuphanBuri,849699
NakhonPathom,899342
SamutSakhon,545454
SamutSongkhram,194376
Phetchaburi,478589
PrachuapKhiriKhan,534719
ChonBuri,1455039
Rayong,688999
Chanthaburi,531037
Trat,229435
NongBuaLamPhu,510074
KhonKaen,1798014
UdonThani,1575152
Loei,638819
NongKhai,519580
MahaSarakham,964596
RoiEt,1308166
Kalasin,985203
SakonNakhon,1142737
NakhonPhanom,715399
Mukdahan,348101
NakhonRatchasima,2628818
BuriRam,1584661
Surin,1395024
SiSaKet,1468798
UbonRatchathani,1857429
Yasothon,540182
Chaiyaphum,1138252
AmnatCharoen,376382
NakhonSiThammarat,1552530
Krabi,462101
Phang-nga,264074
Phuket,386605
SuratThani,1046772
Ranong,187536
Chumphon,505830
Trang,640793
Phatthalung,522723
Songkhla,1410577
Satun,315923
Pattani,694023
Yala,518139
Narathiwat,783082
